city,year,weekofyear,total_cases
sj,2012,26,43
sj,2012,27,15
sj,2012,28,18
sj,2012,29,18
sj,2012,30,32
sj,2012,31,35
sj,2012,32,27
sj,2012,33,88
sj,2012,34,68
sj,2012,35,38
sj,2012,36,93
sj,2012,37,123
sj,2012,38,129
sj,2012,39,81
sj,2012,40,96
sj,2012,41,100
sj,2012,42,62
sj,2012,43,57
sj,2012,44,84
sj,2012,45,115
sj,2012,46,149
sj,2012,47,115
sj,2012,48,122
sj,2012,49,119
sj,2012,50,143
sj,2012,51,134
sj,2013,1,63
sj,2013,2,55
sj,2013,3,53
sj,2013,4,57
sj,2013,5,55
sj,2013,6,45
sj,2013,7,41
sj,2013,8,41
sj,2013,9,38
sj,2013,10,40
sj,2013,11,40
sj,2013,12,47
sj,2013,13,49
sj,2013,14,50
sj,2013,15,46
sj,2013,16,39
sj,2013,17,5
iq,2010,26,7
iq,2010,27,5
iq,2010,28,13
iq,2010,29,3
iq,2010,30,1
iq,2010,31,2
iq,2010,32,0
iq,2010,33,0
iq,2010,34,0
iq,2010,35,2
iq,2010,36,1
iq,2010,37,1
iq,2010,38,8
iq,2010,39,1
iq,2010,40,12
iq,2010,41,2
iq,2010,42,8
iq,2010,43,16
iq,2010,44,7
iq,2010,45,11
iq,2010,46,15
iq,2010,47,10
iq,2010,48,15
iq,2010,49,21
iq,2010,50,15
iq,2010,51,8
iq,2011,52,9
iq,2011,1,18
iq,2011,2,13
iq,2011,3,14
iq,2011,4,14
iq,2011,5,14
iq,2011,6,16
iq,2011,7,15
iq,2011,8,16
iq,2011,9,13
iq,2011,10,11
iq,2011,11,10
iq,2011,12,8
iq,2011,13,8
iq,2011,14,9
iq,2011,15,9
iq,2011,16,7
iq,2011,17,5
iq,2011,18,7
iq,2011,19,5
iq,2011,20,4
iq,2011,21,5
iq,2011,22,4
iq,2011,23,5
iq,2011,24,4
iq,2011,25,4
iq,2011,26,5
iq,2011,27,5
iq,2011,28,4
iq,2011,29,4
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,6
iq,2011,34,5
iq,2011,35,5
iq,2011,36,10
iq,2011,37,5
iq,2011,38,4
iq,2011,39,4
iq,2011,40,2
iq,2011,41,7
iq,2011,42,7
iq,2011,43,5
iq,2011,44,7
iq,2011,45,5
iq,2011,46,5
iq,2011,47,5
iq,2011,48,8
iq,2011,49,14
iq,2011,50,7
iq,2011,51,11
iq,2012,52,7
iq,2012,1,17
iq,2012,2,11
iq,2012,3,12
iq,2012,4,16
iq,2012,5,16
iq,2012,6,15
iq,2012,7,14
iq,2012,8,16
iq,2012,9,14
iq,2012,10,9
iq,2012,11,5
iq,2012,12,4
iq,2012,13,7
iq,2012,14,5
iq,2012,15,5
iq,2012,16,6
iq,2012,17,6
iq,2012,18,6
iq,2012,19,5
iq,2012,20,7
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,3
iq,2012,26,4
iq,2012,27,4
iq,2012,28,3
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,4
iq,2012,33,2
iq,2012,34,2
iq,2012,35,1
iq,2012,36,4
iq,2012,37,5
iq,2012,38,6
iq,2012,39,9
iq,2012,40,1
iq,2012,41,7
iq,2012,42,5
iq,2012,43,11
iq,2012,44,18
iq,2012,45,16
iq,2012,46,20
iq,2012,47,11
iq,2012,48,7
iq,2012,49,21
iq,2012,50,7
iq,2012,51,7
iq,2013,1,11
iq,2013,2,26
iq,2013,3,23
iq,2013,4,14
iq,2013,5,17
iq,2013,6,16
iq,2013,7,14
iq,2013,8,16
iq,2013,9,13
iq,2013,10,7
iq,2013,11,10
iq,2013,12,10
iq,2013,13,11
iq,2013,14,9
iq,2013,15,9
iq,2013,16,8
iq,2013,17,7
iq,2013,18,6
iq,2013,19,7
iq,2013,20,6
iq,2013,21,4
iq,2013,22,4
iq,2013,23,4
iq,2013,24,4
iq,2013,25,5
iq,2013,26,4
